,Country Name,Year,Education Expenditure,Fertility rates,Health Expenditure,Labor Force Participation,Num of Elderly Beds,Population Growth,Tax Revenue,Teacher-Pupil Ratio,Working Age Population
68,Denmark,0.25,0.4038371157029807,0.26595744680851063,0.5285796312460398,0.4746750636473268,0.0281353661245208,0.5337140102894663,0.8565746814540296,0.2840144979651164,0.45259830926446615
69,Denmark,0.375,0.43283846559643474,0.23404255319148934,0.5440236145421625,0.4448613158247353,0.028556707422408494,0.5419441814844626,0.8694269803212124,0.2967482210218181,0.4362590354903961
70,Denmark,0.5,0.4883719281365389,0.24468085106382978,0.5597286718612895,0.4395015409352806,0.028778814478009295,0.5602061026912668,0.9617014619917511,0.3102844556703447,0.4249206775368016
71,Denmark,0.625,0.48355386989242455,0.2553191489361702,0.5790678966018082,0.4415114565188261,0.02906231697987373,0.6005922586903576,0.8729336143450575,0.3247015289977801,0.4155898811119256
72,Denmark,0.75,0.49242712957008,0.29787234042553196,0.6135172108009687,0.4525659922283263,0.029443931812532013,0.61557599123674,0.8513650191930338,0.34008832156664476,0.40633700699038905
73,Denmark,0.875,0.4719492091219935,0.2765957446808511,0.6486344286172084,0.4549108937424627,0.024803760290508806,0.587815679505135,0.8549733309527783,0.32618025971219045,0.3960189896105512
74,Denmark,1.0,0.4634699345520912,0.26595744680851063,0.677360993008869,0.4582607530483719,0.024829040768382066,0.5579344295047652,0.8148821002078519,0.32806981201488183,0.38553910414862635
75,Spain,0.0,0.20204264991213722,0.07446808510638304,0.2797026643918405,0.37364330698110665,0.1467730372868991,0.5507573089880209,0.12293578482925845,0.49906309257232545,0.7004912285876091
76,Spain,0.125,0.1788507141666053,0.0585106382978724,0.2840090126329909,0.37548572959935667,0.22303641412071187,0.5294734765771703,0.116540897590286,0.4997835337036697,0.672672295501248
77,Spain,0.25,0.06896261487968582,0.04787234042553196,0.280545331971092,0.3768256733217205,0.22417403562500865,0.4706451249317966,0.11014601035131351,0.5005056337060239,0.6457780247651703
78,Spain,0.375,0.10915771415908165,0.02127659574468087,0.2850442297223942,0.3641297065523247,0.2220950172780028,0.3911178242163328,0.17378965331737514,0.5012293816657626,0.6129773690865117
79,Spain,0.5,0.1282717275722696,0.04787234042553196,0.3001648022807903,0.34962481575773807,0.22622175433274286,0.39693517668764783,0.19181147141310564,0.509772611020297,0.5817951746821997
80,Spain,0.625,0.1515345861159243,0.05319148936170218,0.319214685847476,0.3456719817767654,0.22827609411801528,0.44177613969872,0.19402651384999792,0.5167309964839246,0.5621179223856274
81,Spain,0.75,0.1752602366000067,0.0585106382978724,0.34043583009675765,0.3376323194425834,0.22987839488226822,0.47459605485425327,0.1798839538777977,0.5281852388790078,0.5487225084563628
82,Spain,0.875,0.18429990248684586,0.04255319148936174,0.367880724330172,0.32436687659118313,0.23161070953272647,0.5050132590389315,0.17734161804838142,0.5426681977609542,0.5367623286533199
83,Spain,1.0,0.1667328521502512,0.015957446808510654,0.38577253557358054,0.3152887578721693,0.23438072760826817,0.5462146519549287,0.194925985387871,0.5461866631725605,0.5308396942292138
84,Estonia,0.0,0.803425764303395,0.26063829787234044,0.07155622900282066,0.41421010317566664,0.0038372153914772284,0.41129586911622273,0.3876377803636461,0.2602509852193174,0.6429933559022701
85,Estonia,0.125,0.8115004753851517,0.20212765957446815,0.07992613942593771,0.439267050783867,0.0039955193362550346,0.3959969279448375,0.36766904240611165,0.228392804022736,0.6181171659361772
86,Estonia,0.25,0.7500327710112571,0.17553191489361708,0.09176061014692188,0.4393675465630443,0.0043145348903700035,0.38498499390674973,0.39204810973218124,0.22047602766049543,0.5839908169325575
87,Estonia,0.375,0.7271294016572691,0.1542553191489362,0.11027965313870951,0.4399035240519897,0.004990486715409835,0.3854007872113501,0.3994543036913602,0.23117719718529317,0.5473001842735269
88,Estonia,0.5,0.6533514883458132,0.16489361702127664,0.13613555970468444,0.4334382955915851,0.0035934393548422046,0.40436839680580366,0.41942525957777177,0.2000812235631757,0.5085269705065574
89,Estonia,0.625,0.6882560789655704,0.1861702127659575,0.14957224243465458,0.45819375586225364,0.0038859705988042335,0.47077204754122015,0.45015517295320245,0.20085395187220126,0.47389894477978856
90,Estonia,0.75,0.6290229477303569,0.19680851063829793,0.17134492891435785,0.48569610076376796,0.004007557659051825,0.46339039725982084,0.4547895110728835,0.21750324350208491,0.44096967965864814
91,Estonia,0.875,0.6414602843581678,0.19148936170212771,0.1898286507933658,0.5059627495645181,0.004142988790515728,0.48201825464941017,0.4261185465478852,0.23590127984408535,0.41000155147223644
92,Estonia,1.0,0.767523195561303,0.23404255319148934,0.2180338320576097,0.5143708964223501,0.004309719561251288,0.527994878323168,0.426717647589008,0.1902092385298592,0.38730815610659164
93,Finland,0.0,0.41420748097916377,0.3404255319148937,0.3704335778726877,0.3920340345705481,0.03386259819509426,0.550167071564633,0.3455483939819357,0.1453125494694161,0.5564535582388397
94,Finland,0.125,0.3989320373308582,0.31914893617021284,0.3993349628367558,0.39240251909419793,0.03515310639891029,0.5513954805523916,0.39431330324843156,0.1343590351058905,0.5191070048884858
95,Finland,0.25,0.358301098458451,0.3031914893617022,0.418964299385156,0.38731073294921603,0.03512361250805815,0.5538771001797789,0.39836560905047846,0.12423558923747624,0.47474508544193184
96,Finland,0.375,0.3244426881497173,0.2765957446808511,0.43944860725761464,0.3670105855554065,0.03580859307519558,0.550821212803175,0.4158494948829755,0.11485127954014088,0.4289780325333188
97,Finland,0.5,0.3116500936843968,0.2553191489361702,0.44159696202363924,0.36124882754924287,0.03673313626598915,0.541267369815091,0.4154372599436165,0.09892539754761896,0.3855350201274634
98,Finland,0.625,0.30178961849664515,0.2234042553191489,0.44359038260373795,0.3606793514672382,0.03769259059289342,0.5242159157169457,0.4099013239246354,0.08492390414899245,0.3477087842095993
99,Finland,0.75,0.29251832639801284,0.18085106382978727,0.4592319157540182,0.34975881012997456,0.03855634025356319,0.5157156468435902,0.4216999210306716,0.07251789542571012,0.3168763312173132
100,Finland,0.875,0.2601072559398384,0.13829787234042554,0.47660194433238595,0.3586359372906336,0.03819940398263833,0.505029993003283,0.4189611558087681,0.06144934054038573,0.28854619734282577
101,Finland,1.0,0.24654573369410884,0.0957446808510638,0.49605219317578936,0.37726115503148866,0.03846183941960838,0.48436205288535256,0.42207596961529686,0.051513041514567585,0.2627408956008631
102,France,0.0,0.2004583397608424,0.42553191489361697,0.4373630121500919,0.28038322390459586,0.3506697219929925,0.5573231189015605,0.4609159043033892,0.7385568867740757,0.4449410324319811
103,France,0.125,0.18272451504074133,0.41489361702127653,0.45884952477142615,0.272008575639823,0.36649349539323484,0.5552718426543275,0.4562286481150107,0.781022685901407,0.4225922331890517
104,France,0.25,0.1706123562057264,0.41489361702127653,0.4684482743947639,0.27904328018223223,0.37402166055420827,0.5555268169888555,0.48081566580883617,0.8364706349327699,0.38855480736497194
105,France,0.375,0.16929021192598906,0.4042553191489362,0.5029056829050361,0.27803832239045945,0.38067524156399485,0.5621277421164801,0.5042300063635016,0.8536899451997418,0.354132126009568
